PLAYER,BIRTHDAY,BIRTH STATE / COUNTRY,BIRTH CITY,NATIONALITY,POS,HEIGHT,WEIGHT,COLLEGE / TEAM,DRAFT,PICK,TEAM,REAL TEAM,
Patrick Williams,8/26/2001,North Carolina,Charlotte,United States,F,6-7,215,Florida St,2020,4,CHI,CHI,Patrick Williams
Pau Gasol,7/6/1980,Spain,Barcelona,Spain,C-F,7-0,250,Barcelona,2001,3,ATL,MEM,Pau Gasol
Paul Arizin,4/9/1928,Pennsylvania,Philadelphia,United States,F,6-4,190,Villanova,1950,3,GSW,GSW,Paul Arizin
Paul Cloyd,6/13/1920,Wisconsin,Madison,United States,,,,Wisconsin,1947,69,WSC,WSC,Paul Cloyd
Paul Davis,7/21/1984,Michigan,Detroit,United States,C,6-11,270,Michigan St,2006,34,LAC,LAC,Paul Davis
Paul Dawkins,6/10/1957,Michigan,Saginaw,United States,F,6-5,190,Northern Illinois,1979,185,UTA,UTA,Paul Dawkins
Paul George,5/2/1990,California,Palmdale,United States,F,6-8,220,Fresno St,2010,10,IND,IND,Paul George
Paul Gordon,4/8/1927,Maryland,Baltimore,United States,F,6-3,185,Notre Dame,1949,31,BAL,BAL,Paul Gordon
Paul Graham,11/28/1967,Pennsylvania,Philadelphia,United States,G,6-6,200,Ohio,1989,UND,,,Paul Graham
Paul Grant,1/6/1974,Pennsylvania,Pittsburgh,United States,C,7-0,245,Wisconsin,1997,20,MIN,MIN,Paul Grant
Paul Griffin,1/20/1954,Michigan,Shelby,United States,F,6-9,205,Western Michigan,1976,74,UTA,UTA,Paul Griffin
Paul Hoffman,4/12/1925,Indiana,Jasper,United States,G,6-2,195,Purdue,1947,42,ATL,ATL,Paul Hoffman
Paul Hogue,4/28/1940,Tennessee,Knoxville,United States,C,6-9,240,Cincinnati,1962,2,NYK,NYK,Paul Hogue
Paul Huston,6/2/1925,Ohio,Xenia,United States,F,6-3,175,Ohio St,1947,8,CHS,CHS,Paul Huston
Paul Long,2/8/1944,Kentucky,Louisville,United States,G,6-2,180,Wake Forest,1967,45,DET,DET,Paul Long
Paul McCracken,9/11/1950,New York,New York City,United States,G,6-4,180,UC-Northridge,1972,UND,,,Paul McCracken
Paul McPherson,7/3/1978,Illinois,Chicago,United States,G,6-4,210,DePaul,2000,UND,,,Paul McPherson
Paul Millsap,2/10/1985,Louisiana,Monroe,United States,F,6-7,257,Louisiana Tech,2006,47,UTA,UTA,Paul Millsap
Paul Mokeski,1/3/1957,Washington,Spokane,United States,C,7-0,250,Kansas,1979,42,HOU,HOU,Paul Mokeski
Paul Napolitano,2/3/1923,California,Clayton,United States,G,6-2,185,San Francisco,1947,54,STB,STB,Paul Napolitano
Paul Neumann,1/30/1938,California,Newport Beach,United States,G,6-1,175,Stanford,1959,27,PHI,PHI,Paul Neumann
Paul Noel,8/17/1924,Kentucky,Midway,United States,F,6-4,185,Kentucky,1947,UND,,,Paul Noel
Paul Nolen,9/3/1929,Texas,Tulia,United States,C,6-10,,Texas Tech,1953,27,BAL,BAL,Paul Nolen
Paul Pierce,10/13/1977,California,Oakland,United States,F,6-7,235,Kansas,1998,10,BOS,BOS,Paul Pierce
Paul Pressey,12/24/1958,Virginia,Richmond,United States,G,6-5,185,Tulsa,1982,20,MIL,MIL,Paul Pressey
Paul Reed,6/14/1999,Florida,Orlando,United States,F,6-9,210,DePaul,2020,58,PHI,PHI,Paul Reed
Paul Ruffner,10/15/1948,California,Downey,United States,C,6-10,225,Brigham Young,1970,28,CHI,CHI,Paul Ruffner
Paul Seymour,1/30/1928,Ohio,Toledo,United States,G,6-1,180,Toledo,,,,,Paul Seymour
Paul Shirley,12/23/1977,Kansas,Meriden,United States,F,6-10,230,Iowa St,2001,UND,,,Paul Shirley
Paul Silas,7/12/1943,Arkansas,Prescott,United States,F,6-7,220,Creighton,1964,10,ATL,ATL,Paul Silas
Paul Stovall,8/16/1948,Kansas,Wichita,United States,F,6-4,215,Arizona St,1972,22,LAL,LAL,Paul Stovall
Paul Thompson,5/25/1961,Tennessee,Smyrna,United States,G,6-6,210,Tulane,1983,50,CLE,CLE,Paul Thompson
Paul Walther,3/23/1927,Kentucky,Covington,United States,G,6-2,160,Tennessee,1949,44,LAL,LAL,Paul Walther
Paul Watson,12/30/1994,Arizona,Phoenix,United States,G,6-6,210,Fresno St,2017,UND,,,Paul Watson
Paul Westphal,11/30/1950,California,Torrance,United States,G,6-4,195,USC,1972,10,BOS,BOS,Paul Westphal
Paul Zipser,2/18/1994,Germany,Heidelberg,Germany,F,6-8,226,Bayern Munich,2016,48,CHI,CHI,Paul Zipser
Pavel Podkolzin,1/15/1985,Russia,Novosibirsk,Russia,C,7-5,260,Varese,2004,21,UTA,DAL,Pavel Podkolzin
Payton Pritchard,1/28/1998,Oregon,Tualatin,United States,G,6-1,195,Oregon,2020,26,BOS,BOS,Payton Pritchard
Pearl Washington,1/6/1964,New York,New York City,United States,G,6-2,190,Syracuse,1986,13,BKN,BKN,Pearl Washington
Pelle Larsson,2/23/2001,Sweden,Stockholm,Sweden,G,6-5,235,Arizona,2024,44,HOU,MIA,Pelle Larsson
Pep Saul,2/16/1924,New Jersey,West Orange,United States,G,6-2,185,Seton Hall,1949,12,SAC,SAC,Pep Saul
Pepe Sanchez,5/8/1977,Argentina,Bahia Blanca,Argentina,G,6-4,195,Temple,2000,UND,,,Pepe Sanchez
Pero Antic,7/29/1982,North Macedonia,Skopje,North Macedonia,F-C,6-11,260,AEK Athens,2004,UND,,,Pero Antic
Perry Jones,9/24/1991,Louisiana,Winnsboro,United States,F,6-11,235,Baylor,2012,28,OKC,OKC,Perry Jones
Perry Moss,11/11/1958,Arizona,Tucson,United States,G,6-2,185,Northeastern,1982,69,BOS,BOS,Perry Moss
Perry Warbington,9/7/1952,Georgia,Atlanta,United States,G,6-2,165,Georgia Southern,1974,145,PHI,PHI,Perry Warbington
Perry Young,8/4/1963,Maryland,Baltimore,United States,G,6-5,210,Virginia Tech,1985,61,POR,POR,Perry Young
Pervis Ellison,4/3/1967,Georgia,Savannah,United States,C-F,6-10,235,Louisville,1989,1,SAC,SAC,Pervis Ellison
Pete Brennan,9/23/1936,New York,New York City,United States,F,6-6,205,North Carolina,1958,4,NYK,NYK,Pete Brennan
Pete Chilcutt,9/14/1968,South Carolina,Sumter,United States,F,6-10,245,North Carolina,1991,27,SAC,SAC,Pete Chilcutt
Pete Cross,3/28/1948,California,Bakersfield,United States,C,6-9,230,San Francisco,1970,23,OKC,OKC,Pete Cross
Pete Darcey,3/3/1930,Oklahoma,Oklahoma City,United States,C,6-7,217,Oklahoma St,1952,UND,,,Pete Darcey
Pete Lalich,6/23/1920,Ohio,Lorain,United States,F,6-2,190,Ohio,,,,,Pete Lalich
Pete Maravich,6/22/1947,Pennsylvania,Aliquippa,United States,G,6-5,197,LSU,1970,3,ATL,ATL,Pete Maravich
Pete Myers,9/15/1963,Alabama,Mobile,United States,G-F,6-6,192,Arkansas-Little Rock,1986,120,CHI,CHI,Pete Myers
Pete Nance,2/19/2000,Ohio,Akron,United States,F,6-10,225,North Carolina,2023,UND,,,Pete Nance
Pete Verhoeven,2/15/1959,California,Hanford,United States,F,6-9,215,Fresno St,1981,85,POR,POR,Pete Verhoeven
Pete Williams,3/10/1965,California,Harbor City,United States,F,6-7,190,Arizona,1985,89,DEN,DEN,Pete Williams
Peter Aluma,4/23/1973,Nigeria,Lagos,Nigeria,C,6-10,260,Liberty,1997,UND,,,Peter Aluma
Peter John Ramos,5/23/1985,Puerto Rico,Fajardo,Puerto Rico,C,7-3,275,Caguas,2004,32,WAS,WAS,Peter John Ramos
Peter Thibeaux,10/3/1961,California,Los Angeles,United States,F,6-7,210,Saint Mary's,1983,77,GSW,GSW,Peter Thibeaux
Petey Rosenberg,4/7/1918,Pennsylvania,Philadelphia,United States,G,5-10,165,St. Joseph's (PA),,,,,Petey Rosenberg
Petr Cornelie,7/26/1995,France,Calais,France,F,6-11,220,Le Mans,2016,53,DEN,DEN,Petr Cornelie
Petur Gudmundsson,10/30/1958,Iceland,Reykjavik,Iceland,C,7-2,260,Washington,1981,61,POR,POR,Petur Gudmundsson
Peyton Siva,10/24/1990,Washington,Seattle,United States,G,6-0,185,Louisville,2013,56,DET,DET,Peyton Siva
Peyton Watson,9/11/2002,California,Beverly Hills,United States,G,6-7,200,UCLA,2022,30,OKC,DEN,Peyton Watson
Phil Bond,7/27/1954,Kentucky,Louisville,United States,G,6-2,175,Louisville,1977,62,HOU,HOU,Phil Bond
Phil Chenier,10/30/1950,California,Berkeley,United States,G,6-3,180,California,1971,SD,WAS,WAS,Phil Chenier
Phil Farbman,4/3/1924,New York,New York City,United States,F,6-1,185,City College of New York,1948,UND,,,Phil Farbman
Phil Ford,2/9/1956,North Carolina,Rocky Mount,United States,G,6-2,175,North Carolina,1978,2,SAC,SAC,Phil Ford
Phil Hankinson,7/26/1951,Georgia,Augusta,United States,F,6-8,195,Pennsylvania,1973,35,BOS,BOS,Phil Hankinson
Phil Hicks,1/31/1953,Illinois,Chicago,United States,F,6-7,205,Tulane,1976,27,HOU,HOU,Phil Hicks
Phil Hubbard,12/13/1956,Ohio,Canton,United States,F,6-8,215,Michigan,1979,15,DET,DET,Phil Hubbard
Phil Jackson,9/17/1945,Montana,Deer Lodge,United States,F,6-8,220,North Dakota,1967,17,NYK,NYK,Phil Jackson
Phil Jordon,9/12/1933,California,Lakeport,United States,C,6-10,205,Whitworth,1956,42,LAL,LAL,Phil Jordon
Phil Lumpkin,12/20/1951,Ohio,Dayton,United States,G,6-0,165,Miami (Ohio),1974,34,POR,POR,Phil Lumpkin
Phil Martin,4/2/1928,Michigan,Jackson,United States,G,6-3,190,Toledo,1954,29,ATL,ATL,Phil Martin
Phil Pressey,2/17/1991,Texas,Dallas,United States,G,5-11,175,Missouri,2013,UND,,,Phil Pressey
Phil Rollins,1/19/1934,Kentucky,Wickliffe,United States,G,6-2,185,Louisville,1956,15,GSW,GSW,Phil Rollins
Phil Sellers,11/20/1953,New York,New York City,United States,F,6-4,195,Rutgers,1976,38,DET,DET,Phil Sellers
Phil Smith,4/22/1952,California,San Francisco,United States,G,6-4,185,San Francisco,1974,29,GSW,GSW,Phil Smith
Phil Walker,3/20/1956,Pennsylvania,Philadelphia,United States,G,6-3,180,Millersville,1977,39,WAS,WAS,Phil Walker
Phil Zevenbergen,4/13/1964,Washington,Seattle,United States,F,6-10,230,Washington,1987,50,SAS,SAS,Phil Zevenbergen
Phillip Wheeler,4/23/2002,New Jersey,Rumson,Puerto Rico,F,6-8,185,San German,2022,ND,,,Phillip Wheeler
Pickles Kennedy,5/17/1938,Pennsylvania,Philadelphia,United States,G,5-11,180,Temple,1960,15,GSW,GSW,Pickles Kennedy
Pierre Jackson,8/29/1991,Nevada,Las Vegas,United States,G,5-10,180,Baylor,2013,42,PHI,PHI,Pierre Jackson
PJ Brown,10/14/1969,Michigan,Detroit,United States,F-C,6-11,239,Louisiana Tech,1992,29,BKN,BKN,PJ Brown
PJ Dozier,10/25/1996,South Carolina,Columbia,United States,G-F,6-6,205,South Carolina,2017,UND,,,PJ Dozier
PJ Hairston,12/24/1992,North Carolina,Greensboro,United States,F-G,6-6,230,North Carolina,2014,26,MIA,CHA,PJ Hairston
PJ Hall,2/21/2002,South Carolina,Spartansburg,United States,C,6-10,185,Clemson,2024,ND,,,PJ Hall
PJ Tucker,5/5/1985,North Carolina,Raleigh,United States,F,6-5,245,Texas,2006,35,TOR,TOR,PJ Tucker
PJ Washington,8/23/1998,Kentucky,Louisville,United States,F,6-7,230,Kentucky,2019,12,CHA,CHA,PJ Washington
Plummer Lott,12/11/1945,Mississippi,Jackson,United States,F,6-5,210,Seattle,1967,54,OKC,OKC,Plummer Lott
Pooh Jeter,12/2/1983,California,Los Angeles,United States,G,5-11,175,Portland,2006,UND,,,Pooh Jeter
Pooh Richardson,5/14/1966,Pennsylvania,Philadelphia,United States,G,6-1,180,UCLA,1989,10,MIN,MIN,Pooh Richardson
Pop Goodwin,12/22/1920,New York,New York City,United States,F,6-2,203,St John's Prep HS (NY),,,,,Pop Goodwin
Popeye Jones,6/17/1970,Tennessee,Dresden,United States,F,6-8,265,Murray St,1992,41,HOU,DAL,Popeye Jones
Pops Mensah-Bonsu,9/7/1983,Great Britain,London,Great Britain,F,6-10,240,George Washington,2006,UND,,,Pops Mensah-Bonsu
Porter Meriwether,3/16/1940,Indiana,Evansville,United States,G,6-2,180,Tennessee St,1962,21,PHI,PHI,Porter Meriwether
Precious Achiuwa,9/19/1999,Nigeria,Port Harcourt,Nigeria,F,6-8,243,Memphis,2020,20,MIA,MIA,Precious Achiuwa
Predrag Drobnjak,10/27/1975,Montenegro,Bijelo Polje,Montenegro,C,6-11,270,Partizan,1997,48,WAS,OKC,Predrag Drobnjak
Predrag Savovic,5/21/1976,Croatia,Pula,Montenegro,G,6-6,225,Hawaii,2002,UND,,,Predrag Savovic
Predrag Stojakovic,6/9/1977,Croatia,Slavoska Pozega,Serbia,F,6-10,229,PAOK,1996,14,SAC,SAC,Predrag Stojakovic
Press Maravich,8/20/1920,Pennsylvania,Logstown,United States,G,6-0,185,Davis & Elkins,,,,,Press Maravich
Price Brookfield,5/11/1920,Texas,Floydada,United States,F,6-4,185,West Texas A&M,1947,UND,,,Price Brookfield
Priest Lauderdale,8/31/1973,Illinois,Chicago,United States,C,7-4,325,Peristeri,1996,28,ATL,ATL,Priest Lauderdale
Primoz Brezec,10/2/1979,Slovenia,Postojna,Slovenia,C,7-1,255,Union Olimpija,2000,27,IND,IND,Primoz Brezec
Purvis Short,7/2/1957,Mississippi,Hattiesburg,United States,F,6-7,210,Jackson St,1978,5,GSW,GSW,Purvis Short
Quentin Grimes,5/8/2000,Texas,Houston,United States,G,6-5,210,Houston,2021,25,LAC,NYK,Quentin Grimes
Quentin Richardson,4/13/1980,Illinois,Chicago,United States,F,6-6,228,DePaul,2000,18,LAC,LAC,Quentin Richardson
Quenton Jackson,9/15/1998,California,Los Angeles,United States,G,6-5,173,Texas A&M,2022,UND,,,Quenton Jackson
Quincy Acy,10/6/1990,Texas,Tyler,United States,F,6-7,240,Baylor,2012,37,TOR,TOR,Quincy Acy
Quincy Douby,5/16/1984,New York,New York City,United States,G,6-3,175,Rutgers,2006,19,SAC,SAC,Quincy Douby
Quincy Lewis,6/26/1977,Arkansas,Little Rock,United States,G-F,6-7,215,Minnesota,1999,19,UTA,UTA,Quincy Lewis
Quincy Miller,11/18/1992,Illinois,Chicago,United States,F,6-9,210,Baylor,2012,38,DEN,DEN,Quincy Miller
Quincy Olivari,5/27/2001,Georgia,Atlanta,United States,G,6-3,225,Xavier,2024,ND,,,Quincy Olivari
Quincy Pondexter,3/10/1988,California,Fresno,United States,F,6-7,230,Washington,2010,26,OKC,NOP,Quincy Pondexter
Quinn Buckner,8/20/1954,Illinois,Phoenix,United States,G,6-3,190,Indiana,1976,7,MIL,MIL,Quinn Buckner
Quinn Cook,3/23/1993,District Columbia,Washington,United States,G,6-1,180,Duke,2015,UND,,,Quinn Cook
Quinndary Weatherspoon,9/10/1996,Mississippi,Canton,United States,G,6-3,205,Mississippi St,2019,49,SAS,SAS,Quinndary Weatherspoon
Quinten Post,3/21/2000,Netherlands,Amsterdam,Netherlands,C,7-0,240,Boston College,2024,52,GSW,GSW,Quinten Post
Quintin Dailey,1/22/1961,Maryland,Baltimore,United States,G,6-3,180,San Francisco,1982,7,CHI,CHI,Quintin Dailey
Quinton Ross,4/30/1981,Texas,Dallas,United States,G-F,6-6,193,Southern Methodist,2003,UND,,,Quinton Ross
Qyntel Woods,2/16/1981,Tennessee,Memphis,United States,F-G,6-8,220,Northeast Mississippi CC,2002,21,POR,POR,Qyntel Woods
Radisav Curcic,9/26/1965,Serbia,Cacak,Serbia,C,6-10,275,Zeleznicar,1987,UND,,,Radisav Curcic
Radoslav Nesterovic,5/30/1976,Slovenia,Ljubljana,Slovenia,C,7-0,255,Union Olimpija,1998,17,MIN,MIN,Radoslav Nesterovic
Raef LaFrentz,5/29/1976,Iowa,Hampton,United States,C-F,6-11,240,Kansas,1998,3,DEN,DEN,Raef LaFrentz
Rafael Addison,7/22/1964,New Jersey,Jersey City,United States,F,6-8,241,Syracuse,1986,39,PHX,PHX,Rafael Addison
Rafael Araujo,8/12/1980,Brazil,Curitiba,Brazil,C,6-11,270,Brigham Young,2004,8,TOR,TOR,Rafael Araujo
Rafer Alston,7/24/1976,New York,New York City,United States,G,6-2,175,Fresno St,1998,39,MIL,MIL,Rafer Alston
RaiQuan Gray,7/7/1999,Florida,Fort Lauderdale,United States,F,6-7,269,Florida St,2021,59,BKN,BKN,RaiQuan Gray
Raja Bell,9/19/1976,US Virgin Islands,St. Croix,US Virgin Islands,G,6-5,210,Florida International,1999,UND,,,Raja Bell
Rajon Rondo,2/22/1986,Kentucky,Louisville,United States,G,6-1,180,Kentucky,2006,21,PHX,BOS,Rajon Rondo
Rakeem Christmas,12/1/1991,New Jersey,Irvington,United States,F,6-9,250,Syracuse,2015,36,MIN,IND,Rakeem Christmas
Ralph Beard,12/2/1927,Kentucky,Hardinsburg,United States,G,5-10,175,Kentucky,1949,22,CHS,CHS,Ralph Beard
Ralph Davis,9/7/1938,Kentucky,Vanceburg,United States,G,6-4,180,Cincinnati,1960,17,SAC,SAC,Ralph Davis
Ralph Drollinger,4/20/1954,California,La Mesa,United States,C,7-2,250,UCLA,1978,105,OKC,OKC,Ralph Drollinger
Ralph Hamilton,6/10/1921,Indiana,Fort Wayne,United States,,,,Indiana,1947,UND,,,Ralph Hamilton
Ralph Jackson,10/26/1962,California,Los Angeles,United States,G,6-2,190,UCLA,1984,71,IND,IND,Ralph Jackson
Ralph Johnson,12/6/1921,Indiana,Huntington,United States,G,5-11,170,Huntington,1948,UND,,,Ralph Johnson
Ralph Kaplowitz,5/18/1919,New York,New York City,United States,G,6-2,170,New York University,,,,,Ralph Kaplowitz
Ralph Lewis,3/28/1963,Pennsylvania,Philadelphia,United States,G,6-6,200,La Salle,1985,139,BOS,BOS,Ralph Lewis
Ralph O'Brien,4/8/1928,Kentucky,Henshaw,United States,,,,Butler,1950,69,INO,INO,Ralph O'Brien
Ralph Ogden,1/25/1948,California,San Luis Obispo,United States,F,6-5,205,Santa Clara,1970,53,GSW,GSW,Ralph Ogden
Ralph Polson,10/26/1929,California,Riverside,United States,F,6-7,200,Whitworth,1952,6,NYK,NYK,Ralph Polson
Ralph Sampson,7/7/1960,Virginia,Harrisonburg,United States,C,7-4,228,Virginia,1983,1,HOU,HOU,Ralph Sampson
Ralph Siewert,12/31/1923,Michigan,Bloomfield Hills,United States,,,,Dakota Wesleyan,,,,,Ralph Siewert
Ralph Simpson,8/10/1949,Michigan,Detroit,United States,G,6-5,200,Michigan St,1972,11,CHI,CHI,Ralph Simpson
Ralph Wells,9/3/1940,Illinois,Chicago,United States,G,6-1,180,Northwestern,1962,UND,,,Ralph Wells
Ramon Rivas,6/3/1966,Puerto Rico,Carolina,Puerto Rico,F,6-10,260,Temple,1988,UND,,,Ramon Rivas
Ramon Sessions,4/11/1986,South Carolina,Myrtle Beach,United States,G,6-3,190,Nevada,2007,56,MIL,MIL,Ramon Sessions
Randell Jackson,1/16/1976,Massachussetts,Boston,United States,F,6-11,215,Florida St,1998,UND,,,Randell Jackson
Randolph Childress,9/21/1972,District Columbia,Washington,United States,G,6-2,188,Wake Forest,1995,19,DET,POR,Randolph Childress
Randolph Keys,4/19/1966,Mississippi,Collins,United States,F,6-7,210,Southern Mississippi,1988,22,CLE,CLE,Randolph Keys
Randolph Morris,1/2/1986,Texas,Houston,United States,C,6-11,275,Kentucky,2005,UND,,,Randolph Morris
Randy Allen,1/26/1965,Florida,Milton,United States,F,6-8,220,Florida St,1987,UND,,,Randy Allen
Randy Breuer,10/11/1960,Minnesota,Lake City,United States,C,7-3,230,Minnesota,1983,18,MIL,MIL,Randy Breuer
Randy Brown,5/22/1968,Illinois,Chicago,United States,G,6-2,190,New Mexico St,1991,31,SAC,SAC,Randy Brown
Randy Denton,2/18/1949,North Carolina,Raleigh,United States,C,6-10,240,Duke,1971,61,BOS,BOS,Randy Denton
Randy Foye,9/24/1983,New Jersey,Newark,United States,G,6-4,218,Villanova,2006,7,BOS,MIN,Randy Foye
Randy Holcomb,8/8/1979,Illinois,Chicago,United States,F,6-9,220,San Diego St,2002,56,SAS,ATL,Randy Holcomb
Randy Livingston,4/2/1975,Louisiana,New Orleans,United States,G,6-4,209,LSU,1996,42,HOU,HOU,Randy Livingston
Randy Smith,12/12/1948,New York,Bellport,United States,G,6-3,180,Buffalo St,1971,104,LAC,LAC,Randy Smith
Randy White,11/4/1967,Louisiana,Shreveport,United States,F,6-8,240,Louisiana Tech,1989,8,DAL,DAL,Randy White
Randy Wittman,10/28/1959,Indiana,Indianapolis,United States,G,6-6,210,Indiana,1983,22,WAS,ATL,Randy Wittman
Randy Woods,9/23/1970,Pennsylvania,Philadelphia,United States,G,5-10,185,La Salle,1992,16,LAC,LAC,Randy Woods
Rashad McCants,9/25/1984,North Carolina,Asheville,United States,G,6-4,215,North Carolina,2005,14,MIN,MIN,Rashad McCants
Rashad Vaughn,8/16/1996,Minnesota,Minneapolis,United States,G,6-6,202,UNLV,2015,17,MIL,MIL,Rashad Vaughn
Rashard Lewis,8/8/1979,Louisiana,Pineville,United States,F,6-10,235,Elsik HS (TX),1998,32,OKC,OKC,Rashard Lewis
Rasheed Wallace,9/17/1974,Pennsylvania,Philadelphia,United States,F-C,6-11,230,North Carolina,1995,4,WAS,WAS,Rasheed Wallace
Rasheer Fleming,7/10/2004,New Jersey,Camden,United States,F,6-9,240,St. Joseph's (PA),2025,31,MIN,PHX,Rasheer Fleming
Rastko Cvetkovic,6/22/1970,Serbia,Belgrade,Serbia,C,7-1,260,Crvena zvezda,1992,UND,,,Rastko Cvetkovic
Rasual Butler,5/23/1979,Pennsylvania,Philadelphia,United States,F,6-7,215,La Salle,2002,52,MIA,MIA,Rasual Butler
Ratko Varda,5/6/1979,Bosnia,Bosanska Gradiska,Bosnia,C,7-1,265,Partizan,2001,UND,,,Ratko Varda
Raul Lopez,4/15/1980,Spain,Vic,Spain,G,6-0,160,Real Madrid,2001,24,UTA,UTA,Raul Lopez
Raul Neto,5/19/1992,Brazil,Belo Horizonte,Brazil,G,6-2,180,Gipuzkoa,2013,47,ATL,UTA,Raul Neto
Rawle Alkins,10/29/1997,New York,New York City,United States,G,6-5,225,Arizona,2018,UND,,,Rawle Alkins
Rawle Marshall,2/20/1982,Guyana,Georgetown,Guyana,G-F,6-7,190,Oakland,2005,UND,,,Rawle Marshall
Ray Allen,7/20/1975,California,Merced,United States,G,6-5,205,Connecticut,1996,5,MIN,MIL,Ray Allen
Ray Blume,9/23/1958,Georgia,Valdosta,United States,G,6-4,185,Oregon St,1981,36,IND,CHI,Ray Blume
Ray Corley,1/1/1928,New York,New York City,United States,G,6-0,180,Georgetown,1949,45,PRO,PRO,Ray Corley
Ray Ellefson,11/18/1927,South Dakota,Brookings,United States,C,6-8,230,West Texas A&M,1948,UND,,,Ray Ellefson
Ray Epps,8/20/1956,Virginia,Amelia,United States,F,6-6,195,Norfolk St,1977,104,GSW,GSW,Ray Epps
Ray Felix,12/10/1930,New York,New York City,United States,C,6-11,220,Long Island-Brooklyn,1953,1,BAL,BAL,Ray Felix
Ray Kuka,2/17/1922,Montana,Havre,United States,F,6-3,200,Notre Dame,1947,UND,,,Ray Kuka
Ray Lumpp,7/11/1923,New York,New York City,United States,G,6-1,178,New York University,1948,14,INJ,INJ,Ray Lumpp
Ray McCallum,6/12/1991,Wisconsin,Madison,United States,G,6-3,190,Detroit,2013,36,SAC,SAC,Ray McCallum
Ray Owes,12/11/1972,California,San Bernardino,United States,F,6-9,224,Arizona,1995,UND,,,Ray Owes
Ray Radziszewski,3/1/1935,New Jersey,Jersey City,United States,F,6-5,210,St. Joseph's (PA),1957,30,GSW,GSW,Ray Radziszewski
Ray Ragelis,12/10/1928,Indiana,East Chicago,United States,F,6-4,205,Northwestern,1951,18,SAC,SAC,Ray Ragelis
Ray Ramsey,7/18/1921,Illinois,Springfield,United States,G,6-2,165,Bradley,1947,UND,,,Ray Ramsey
Ray Scott,7/12/1938,Pennsylvania,Philadelphia,United States,F,6-9,215,Portland,1961,4,DET,DET,Ray Scott
Ray Tolbert,9/10/1958,Indiana,Anderson,United States,F,6-9,225,Indiana,1981,18,BKN,BKN,Ray Tolbert
Ray Wertis,1/1/1922,New York,Elmhurst,United States,G,5-11,,St. John's,,,,,Ray Wertis
Ray Williams,10/14/1954,New York,Mount Vernon,United States,G,6-3,188,Minnesota,1977,10,NYK,NYK,Ray Williams
Rayan Rupert,5/31/2004,France,Strasbourg,France,G-F,6-6,185,New Zealand Breakers,2023,43,POR,POR,Rayan Rupert
RayJ Dennis,3/30/2001,Illinois,Plainfield,United States,PG,6-2,180,Baylor,2024,ND,,,RayJ Dennis
Rayjon Tucker,9/24/1997,North Carolina,Charlotte,United States,G,6-3,209,Arkansas-Little Rock,2019,UND,,,Rayjon Tucker
Raymond Brown,7/5/1965,Georgia,Atlanta,United States,F,6-8,220,Idaho,1989,UND,,,Raymond Brown
Raymond Felton,6/26/1984,South Carolina,Marion,United States,G,6-1,205,North Carolina,2005,5,CHA,CHA,Raymond Felton
Raymond Spalding,3/11/1997,Kentucky,Louisville,United States,F,6-9,225,Louisville,2018,56,PHI,DAL,Raymond Spalding
Raymond Townsend,12/20/1955,California,San Jose,United States,G,6-3,175,UCLA,1978,22,GSW,GSW,Raymond Townsend
Red Davis,4/22/1931,New York,New York City,United States,C,6-7,220,St. John's,1954,52,SAC,SAC,Red Davis
Red Dehnert,1/24/1924,New York,New York City,United States,,,,Columbia,,,,,Red Dehnert
Red Holzman,8/10/1920,New York,New York City,United States,G,5-10,175,City College of New York,1947,UND,,,Red Holzman
Red Kerr,7/17/1932,Illinois,Chicago,United States,C,6-9,230,Illinois,1954,6,PHI,PHI,Red Kerr
Red Mihalik,9/22/1916,Pennsylvania,Ford City,United States,G,6-0,180,Ford City HS (PA),,,,,Red Mihalik
Red Morrison,4/26/1932,California,Fresno,United States,F,6-8,220,Idaho,1954,14,BOS,BOS,Red Morrison
Red Owens,9/2/1925,Texas,Houston,United States,G,6-3,185,Baylor,1949,21,WSC,ATL,Red Owens
Red Rocha,9/18/1923,Hawaii,Hilo,United States,C,6-9,185,Oregon St,1947,12,ATL,STB,Red Rocha
Red Wallace,7/12/1918,Pennsylvania,Simpson,United States,,,,Scranton,,,,,Red Wallace
Reece Beekman,10/8/2001,Wisconsin,Milwaukee,United States,G,6-3,199,Virginia,2024,ND,,,Reece Beekman
Reece Gaines,1/7/1981,Wisconsin,Madison,United States,G,6-6,205,Louisville,2003,15,ORL,ORL,Reece Gaines
Reed Sheppard,6/24/2004,Kentucky,London,United States,G,6-2,190,Kentucky,2024,3,HOU,HOU,Reed Sheppard
Reggie Bullock,3/16/1991,Maryland,Baltimore,United States,G-F,6-6,205,North Carolina,2013,25,LAC,LAC,Reggie Bullock
Reggie Carter,10/10/1957,New York,New York City,United States,G,6-3,175,St. John's,1979,27,NYK,NYK,Reggie Carter
Reggie Evans,5/18/1980,Florida,Pensacola,United States,C-F,6-8,245,Iowa,2002,UND,,,Reggie Evans
Reggie Geary,8/31/1973,New Jersey,Trenton,United States,G,6-2,187,Arizona,1996,56,CLE,CLE,Reggie Geary
Reggie Hanson,10/6/1968,North Carolina,Charlotte,United States,F,6-8,195,Kentucky,1991,UND,,,Reggie Hanson
Reggie Harding,5/4/1942,Michigan,Detroit,United States,C,7-0,249,Eastern HS (MI),1962,29,DET,DET,Reggie Harding
